,Unnamed: 0,Unnamed: 0.1,tweet,dogruluk,tahmin,durum
0,0,0,heskodunureddet i̇nsanlar sorgulamaya basladi  i̇nsanlar uyandi  bu insanlarin sorgulamasina ve arastirmasina bilgilere erismesine engel olabilecek mi sizce  bu insanlari susturabilecek mi  dusunce ozgurlugu nerede asgariucret 2020yebirsozbirak  httpstconzzblk4vp2,0,0,0
1,1,1,i̇zmir           3500 tl eskisehir    3350 tl ankara       3100 tl i̇stanbul     3100 tl mersin       3300 tl adana        3100 tl edirne        3200 tl bursa         2825 tl  bundan sonra karar senin bursa   asgariucret millet3100cumhur2825,1,1,0
2,2,2,esraca herkesicinchp beyler ulke yonetiyoruz ulke   millet yonetiyoruz millet 2011 butce gorusmesi ve mudure 10 yildir anlatiyor rterdogan algi ve yalandan baska bir sey yok bu chp  de asgariucret de algiya devam👇😂  httpstcol9uxzd8b6p,0,0,0
3,3,3,akp ni̇n zulmune karsi mi̇llete nefes olan chp beledi̇ye baskanlari allah si̇zlerden razi olsun millet3100cumhur2825 asgariucret  httpstcooxllcccsep,0,0,0
4,4,4,esraca herkesicinchp chp liler akpartili belediyelerde asgari ucret zaten3100 ustunde mesela kayseri buyuksehir belediyesinde en dusuk maas 3300 liraydi simdide 3500 oldu bilin diye yazdim asgariucret  bizburadaoldukca millet3100cumhur2825 😂👇  httpstco65pjpkogwu,0,1,0
5,5,5,herkes bi̇li̇yor everybody knows zarlarin hileli oldugunu parmaklarini capraz yapar yuvarlarken herkes biliyor i̇yi adamlarin kaybettigini herkes biliyor dovusun hileli oldugunu fakirler fakir kalir zenginler zenginlesir hep boyle gider herkes biliyor cohen  asgariucret,0,0,0
6,6,6,kira250 elektirik50 dogalgaz25 su125gunde 3 otsbire gore hesaplandi mutfak300 telampint100 giyim50 eskort1000  toplam 1500 yapar kaldi geriye 2200 lira taksitle ev bile alinir asgariucret,0,0,0
7,7,7,heskodunureddet asinin etki̇leri̇   tenneseeli hemsire asidan uc gun sonra bells palsy oldum bunu en kotu dusmanima yapmam diyor mesaji biz umurlarinda degiliz  2020yebirsozbirak dolmabahcedekaragece asgariucret  httpstcov1bqls5rqo,0,0,0
8,8,8,1 ocak 2021 itibariyle yeni maaslar  cumhurbaskani             88000 ₺ emekli cumhurbaskani 35200 ₺ emekli basbakanlar       26400 ₺ emekli milletvekilleri     15210 ₺ asgari ucret                    2825 ₺  asgariucret,1,1,0
9,9,9,belirlenen asgariucretin her ay devletin odedigini sanan chpliler var  az icin lan az adi ustunde asgari ucret daha az veremezsin demek  3100 yada daha fazlasini vermenizi hukumet yasakladi sanki  verin abi 5 bin lira alkislayalim,0,0,0
10,10,10,soylemeye dilim varmiyor ama kabahatin cogu sende canim kardesimasgariucret  httpstco1jbk6xbbze,0,0,0
11,11,11,gulhane parkindayiz her seyin farkindayiz gures erisimyasagi sahte banka liyakat diploma birkacmaas asgariucret iyipartibursail iyiparti,0,0,0
12,12,12,genel baskanimiz sayin av huseyin bas bize lazim olan asgari gecim kosullarini saglayacak bir asgari ucret ve azami cesaret asgariucret  varbihayalimiz  avhuseyinbas  videonun devami icin  httpstcoa4dqsu1yvk  httpstcog3n88vje4e,0,0,0
13,13,13,mikhail bakunine sormuslar  sizin agaliginiz ne zaman biter  sizin esekliginiz bitince demis  asgariucret,0,0,0
